USER_NAME,AGE,HEIGHT,GENDER,SALE_AMOUNT,LAST_PURCHASE_DATE
Vanessa Ginger,24,181,M,67091,2019-08-23T01:01:30Z
David Ginger,77,161,,57528,2020-10-01T10:15:30Z
John Law,16,181,F,66276,2020-09-01T13:15:30Z
Tommy Ginger,77,176,,64155,2014-02-15T11:14:30Z
Tommy Chan,78,146,,6654,2015-07-15T15:15:30+05:00
Kenny Ginger,49,179,F,82401,2015-07-15T15:15:30Z
Kenny Chan,53,172,M,22740,2019-01-15T13:15:30Z
Tom Law,28,168,F,58745,2014-02-15T11:14:30Z
John Fisher,36,174,M,48549,2015-07-15T15:15:30+05:00
May Ling,33,171,,32632,2020-01-25T18:15:30Z
David Parker,59,168,,95569,2014-02-15T11:14:30+01:00
Steven Ling,27,144,M,3133,2019-11-05T13:15:30Z
Tommy ,54,158,M,69760,2014-02-15T11:14:30Z
Tom Law,47,147,M,85076,2020-10-01T10:15:30Z
Tommy Wong,52,156,F,15472,2019-01-15T13:15:30Z
David Wong,48,140,M,53225,2014-02-15T11:14:30+01:00
Kenny Tam,31,160,,83304,2020-05-29T21:15:30+08:00
Vanessa Wong,73,142,M,15588,2014-02-15T11:14:30Z
Tom Law,13,180,F,26446,2020-01-25T18:15:30+08:00
Kenny Wong,12,147,,60631,2020-05-29T21:15:30Z
Barry Ling,21,156,F,90204,2020-05-29T21:15:30+08:00
Tom Parker,63,155,M,44937,2017-06-08T12:15:30Z
Tom Chan,35,175,F,35742,2017-06-08T12:15:30+08:00
May Law,12,184,M,25062,2019-08-23T01:01:30Z
Steven King,70,179,,58358,2015-07-15T15:15:30+05:00
John King,73,179,M,49095,2019-08-23T01:01:30Z
Vanessa Tam,64,148,,36030,2020-05-29T21:15:30+08:00
Kenny King,52,180,,70933,2014-02-15T11:14:30+01:00
Barry Ginger,62,174,,20689,2020-05-29T21:15:30Z
Steven Law,32,167,M,8932,2015-07-15T15:15:30+05:00
Ben Law,64,173,M,43979,2019-01-15T13:15:30Z
Vanessa Bohi,37,169,M,10730,2020-05-29T21:15:30Z
Tommy ,31,157,,76360,2014-02-15T11:14:30Z
Barry Bohi,77,151,,42462,2020-10-01T10:15:30Z
David Wong,29,181,M,2973,2014-02-15T11:14:30Z
Vanessa Ginger,32,150,F,56918,2015-07-15T15:15:30+05:00
Tommy Bohi,39,155,M,41765,2020-01-25T18:15:30Z
Kenny Fisher,64,190,M,54578,2020-01-25T18:15:30Z
May Ling,62,141,F,40335,2015-07-15T15:15:30Z
 King,25,158,,93571,2020-10-01T10:15:30Z
May Ginger,28,163,M,55547,2019-01-15T13:15:30Z
